
Aileen Wuornos,29 February 
Albert DeSalvo,03 September 
Albert Fish,19 May 
Alexander Pichushkin,09 April 
Anatoly Onoprienko,25 July 
Andrei Chikatilo,16 October 
Anthony Hardy,31 May 
Arthur Shawcross,06 June 
Beverley Allitt,04 October 
Carol M. Bundy,26 August 
Catherine Birnie,23 May 
Colin Ireland,16 March 
Cynthia Coffman,19 January 
David Berkowitz,01 June 
David Birnie,16 February 
David Copeland,15 May 
David Ray Parker,06 November 
Dean Arnold Corll,24 December 
Dennis Nilsen,23 November 
Dennis Rader,09 March 
Derrick Bird,27 November 
Donald Henry Gaskins,13 March 
Donald Neilson,01 August 
Dorothea Puente,09 January 
Doug Clark,10 March 
Ed Gein,27 August 
Edmund Kemper,18 December 
Faye Copeland,04 August 
Fred West,29 September 
Fritz Haarmann,25 October 
Gary Ridgway,18 February 
George Joseph Smith,11 January 
Glen Edward Rogers,15 July 
Graham Young,07 September 
H H Holmes,16 May 
Harold Shipman,14 January 
Henri Desire Landru,12 April 
Henry Lee Lucas,23 August 
Herbert Mullin,18 April 
Ian Brady,02 January 
Janie Lou Gibbs,25 December 
Javed Iqbal Mughal,08 October 
Jeffrey Dahmer,21 May 
Jeremy Bamber,13 January 
Joel Rifkin,20 January 
John Allen Muhammad,31 December 
John Bodkin Adams,21 January 
John George Haigh,24 July 
John Reginald Christie,08 April 
John Straffen,27 February 
John Wayne Gacy,17 March 
Judy Buenoano,04 April 
Karla Homolka,04 May 
Kenneth Bianchi,22 May 
Kristen Gilbert,13 November 
Larry Eyler,21 December 
Lee Boyd Malvo,18 February 
Levi Bellfield,17 May 
Luis Alfredo Garavito,25 January 
Martha Beck,06 May 
Michael Ryan,18 May 
Moses Sithole,17 November 
Myra Hindley,23 July 
Orville Lynn Majors,24 April 
Patrick MacKay,25 September 
Paul Bernardo,24 August 
Peter Bryan,04 October 
Peter Kurten,26 May 
Peter Manuel,13 March 
Peter Sutcliffe,02 June 
Peter Tobin,27 August 
Randall Woodfield,26 December 
Ray Copeland,30 December 
Ray Fernandez,17 December 
Raymond Morris,13 August 
Richard Chase,23 May 
Richard Ramirez,29 February 
Robert Pickton,24 October 
Robert Black,21 April 
Robert Maudsley,26 June 
Robert Napper,25 February 
Rodney Alcala,23 August 
Ronald Dominique,09 January 
Rose West,29 November 
Stephen Griffiths,24 December 
Stephen Port,22 February 
Steve Wright,24 April 
Steven Grieveson,14 December 
Ted Bundy,24 November 
Ted Kaczynski,22 May 
Trevor Hardy,11 June 
Velma Barfield,29 October 
